index,text,label
train_01_126_845,Narendra Modi avoided visiting victims two thousand and two riots state long time lost time burning aviation fuel dashing Patna twice one week express condolences score points rambunctious rivals,1
train_01_127_533,Now charged exploiting grief terror victims 26/10,0
train_01_128_1654,visiting families Patna blast victims Narendra Modi drilling home point NiKu least bothered personal tragedies people,0
train_01_129_3114,August year militantly aggressive Kurmis mowed fourteen Dalits sleepy hamlet Belchchi Nalanda district,0
train_01_13_1285,Both Anoop Ramanan also accused case related attack Nitta Gelatin office Panampilly Nagar last year,0
train_01_130_1739,Indira landed Nalanda waded floodwaters elephant visit Dalit family lost members caste pogrom,1
train_01_131_3262,The grief list also includes nights spent Rahul Dalit colonies visits Manmohan Singh Sonia Gandhi Chhattisgarh top Congress leaders massacred Naxalites,0
train_01_132_730,Modiites reminding Congress trips Sonia Prime Minister made Muzzafarnagar forty-three killed worst-ever communal clashes decades,0
train_01_133_2021,Bandhopadhay also said two Trinamool Congress workers killed Sashan North twenty-four Parganas district recently,0
train_01_134_138,car Union ministers Mukul Roy Sultan Ahmed attacked allegedly CPM cadres Wednesday alleged,0
train_01_135_1341,December five two thousand and seventeen IST Say officials panchayat level colluding locals Residents Varavani panchayat staged protest collectorate Monday illegal tapping drinking water supplied pipelines Cauvery combined water supply scheme irregular supply water villages,1
train_01_135_3340,Ramanathapuram Residents protest illegal water connections,1
train_01_136_3243,Led Sagayamadha office-bearer All India Farm Workers Association villagers including large number women panchayat comprising six villages staged protest urging district administration immediately disconnect illegal water connections ensure uninterrupted water supply,1
train_01_137_721,Committed Seeking Justice Behalf All 26/11 Victims fifth August two thousand and fifteen Prime Minister NEW YORK The committed pursuing justice behalf victims two thousand and eight Mumbai attack matter arduous task top Indian-origin American diplomat said,0
train_01_138_219,certainly reiterated support commitment India efforts seek justice behalf victims 26/11 attack Assistant Secretary State South Central Asian Affairs Nisha Desai Biswal told PTI asked delay bringing justice perpetrators two thousand and eight terror attacks,0
train_01_139_144,Biswal travelled city Washington speak Indian Consulate General Media-India Lecture Series yesterday said large number Indian victims attack Americans also lost lives,1
train_01_14_745,condemns attack NSS Karayogams eighth May two thousand and eleven THIRUVANANTHAPURAM Chief Minister Achuthanandan condemned recent attacks NSS Karayogams,0
train_01_140_1382,Given nearly seven years passed since horrendous terror attacks claimed one hundred and sixty lives injured many others Biswal said bringing justice victims terror attacks may appear arduous andlong-drawn process,0
train_01_141_915,Biswal underlined part offered rewards information leading arrest prosecution individuals associated Mumbai attack,0
train_01_142_3024,Referring terror attack Punjab Gurdaspur district July twenty-seven Biswal said strongly condemned expressed concern attack,0
train_01_143_2988,She said expressed cooperation ith Indian authorities specific aspects incident,0
train_01_144_3332,media reports night vision device used three terrorists Gurdaspur attack markings Biswal said conversation Indian authorities try ascertain trace origins equipment found,1
train_01_145_2115,continue work closely Indian government issues said adding ongoing process working Indian authorities address issues concern emanating incident,1
train_01_146_1588,The step came RLD workers led district party president Ajit Rathi former minister Dharamvir Balyan MLC Chaudhry Mushtaq staged dharna outside office yesterday submitted memorandum,0
train_01_147_2629,CHENNAI Chennai sees first ever hunger fast HCL April eight two thousand and thirteen IST For first time Chennai graduates denied jobs multi-national corporation recruited college campuses staged hunger strike Sunday,0
train_01_148_3016,many fifty-nine recruits graduated different colleges State came together fourth time demand answers HCL Technologies company recruited two thousand and eleven,1
train_01_149_183,The recruits Valluvar Kottam shouted slogans including HCL lend ears give back two years undertaking day-long fast,0
train_01_15_1134,When asked series attacks Karayogams said attacks could entertained,0
train_01_150_877,Three Arrested Bimbola Clash eighteenth June two thousand and fourteen DHENKANAL Three persons arrested Tuesday alleged involvement killing naib sarpanch clash members two communities Bimbola village Dhenkanal Sadar police limits Monday,1
train_01_151_2547,The naib sarpanch killed seventeen others seriously injured clash use village field,1
train_01_152_883,Bimbola village turned battle field rival groups wielding guns took centre stage,1
train_01_153_1992,The clash took place use field,1
train_01_154_2700,Police said detained group thirty forty persons general caste Monday morning managed escape,0
train_01_155_381,However returning home night Pradhan intercepted killed,0
train_01_156_2596,Soon clash ensued supporters Pradhan rival group seventeen persons injured,0
train_01_157_909,Ishrat Jahan nineteen year-old college student killed along three others June fifteen two thousand and four allegedly team Crime Branch officials outskirts Ahmedabad intelligence inputs group Lashkar terrorists plotted kill Gujarat Chief Minister Narendra Modi avenge two thousand and two communal riots state,1
train_01_158_1326,thirteen Sep two thousand and fourteen Three people sentenced death Yunnan court role attack Kunming rail station killed thirty-one people injured one hundred and forty-one March,1
train_01_158_2387,Kunming railway station attack Three given death penalty Kunming rail station attack Influenced religious extremism trio plotted knife rampage court says fourth defendant handed life sentence taking part,1
train_01_158_2607,PUBLISHED Friday twelve September two thousand and fourteen Jinping urges China central Asian neighbours help step extremism fight,0
train_01_159_853,Patigul Tohti wounded captured scene jailed life convicted taking part attack,1
train_01_16_289,The NSS Karayogams attacked Thrissur Thiruvananthapuram NSS secretary Sukumaran Nair said NSS support LDF recent Assembly elections want Achuthanandan come back power another term,1
train_01_160_3156,Tohtunyaz helped acquire ten knives used attack,0
train_01_161_1462,Two days attack local police arrested Tohtunyaz Ehet Muhammad tried illegally cross Vietnam via Honghe county court said,1
train_01_162_2296,They confess planned attack capture bear full responsibility loss life court said,1
train_01_163_2481,Despite losing contact three men five members group went ahead attack,0
train_01_164_724,Initial reports variety media quoting witnesses said eight people brandished knives Saturday March one attack,0
train_01_165_3168,Police announced Monday attack three suspects taken custody appears reference trio detained February twenty-seven,0
train_01_166_3248,least five people tried attack Xinhua reported,0
train_01_167_3395,The government blamed separatist forces Xinjiang attack,1
train_01_168_1577,Mainland authorities launched massive crackdown terrorism wake string violent attacks restive Xinjiang region cities mainland,1
train_01_169_1273,The pair oaths invalid able retake China rubberstamp legislature said one day thousands marched streets Hong Kong protest Beijing interference,1
train_01_169_2216,During chaotic swearing-in ceremony last month Yau Leung thumbed noses Beijing refusing declare allegiance China carrying blue flags reading Hong Kong China,1
train_01_17_2868,The attack Karayogams sparked sharp reactions CPM leaders,1
train_01_170_841,But many Hong Kong complain freedoms eroded recent years leading nearly three months street protests two thousand and fourteen known umbrella revolution election September year six politicians pushing greater autonomy city,1
train_01_171_2460,"About 13,000 marched Sunday protest China intervention ending clashes police outside Beijing main presence city four arrests",1
train_01_172_1392,Some schools postpone mid-term examinations due bandh additional task conducting tests resuming classes,1
train_01_173_1317,Yes fellow assured government bosses July one two thousand and three protest march would draw mere thousands half million actually turned,0
train_01_174_2400,Taxi strike impacts businesses Soshanguve Brenda Masilela PRETORIA November eight ANA Employees Soshanguve Plaza south Pretoria arrived work Wednesday find businesses closed amid fears taxi strike might turn violent,1
train_01_175_638,27th February two thousand and nine COLOMBO India Thursday told Pakistan recognised Islamabad done far investigate involvement Pakistanis Mumbai attacks curb crossborder terrorism lot remained done ensure attacks recur,1
train_01_175_1259,lot done India tells Pakistan,0
train_01_176_2686,Foreign Secretary Shivshankar Menon discussed bilateral issues Pakistani counterpart Salman Bashir sidelines SAARC Foreign Secretaries meeting said Islamabad would bring perpetrators Mumbai attack justice give credible evidence dismantling terrorist infrastructure soil Pakistan,0
train_01_177_2012,About one hundred and twenty-five bus operators across Gauteng stopped reporting duty two weeks ago following dispute mileage payment,1
train_01_178_20,"Over 60,000 pupils left stranded strike",1
train_01_179_2901,Flash strike guards delays suburban trains Indian Express Express News Service Express News Service Fri Nov thirty two thousand and twelve hrs Most guards local trains abstained work Thursday protesting irritable behaviour area officer Churchgate forcing station masters traffic inspectors take role,1
train_01_18_1447,going argue evidence strikers Marikana August two thousand and twelve attacked police kicked,0
train_01_180_576,Four days ago guard Rakesh Jha gone hunger strike Churchgate Station denied leave despite applying two months back,1
train_01_181_1327,guard said When Jha get leave till four hours departure train hanged poster around neck announcing indefinite hunger strike,1
train_01_182_2469,All four hundred and seventeen guards suburban section refused work extra hours protest,1
train_01_183_1201,The Left wiped Gandhi said rally,0
train_01_184_444,"There anarchy everywhere misrule pervasive conspiracy corruption told gathering 30,000 people",0
train_01_185_1146,She directly name Bhatta-Parsaul twin villages emerged epicentre agitation land acquisition Uttar Pradesh government expressway project specifically mentioned atrocities farmers,0
train_01_186_1455,Her son Congress general secretary Rahul Gandhi taken issue big way staging daylong sit-in village four people including two police personnel killed clashes,1
train_01_187_2665,Scores students teachers women rights organisations yesterday staged protest outside college demanding Thampu resignation shielding accused,1
train_01_188_345,Protests Kupwara molestation girl Indian Express Agencies Agencies Srinagar Thu Jul nine two thousand and nine hrs Locals took streets frontier district Kupwara today demanding arrest territorial army jawan allegedly tried molest young woman following committed suicide,1
train_01_189_525,After family members narrated incident neighbours people came road held demonstrations,1
train_01_19_1486,Mpofu said Lt-Col Kaizer Modiba fabricating evidence violence mineworkers strike Marikana near Rustenburg North West position witness attack,1
train_01_190_473,Tiruvannamalai Cab drivers owners take rally May twenty-two two thousand and twelve IST Tourist cab drivers owners took rally Monday demanding scrap lifetime tax system introduced Tamil Nadu government,1
train_01_191_1787,The rally started Kamaraj statue proceeded important roads town culminating front Revenue Divisional Office,0
train_01_192_1004,Tiruvannamalai District Tourist Car Van Dirvers-Owners Welfare Association organised rally insisted old tax system continue,0
train_01_193_3303,end rally submitted memorandum Revenue Divisional Officer Bupathi,0
train_01_194_1851,three Cong workers killed phase-IV eve Indian Express Kolkata Mon Jul twenty-two two thousand and thirteen hrs eve fourth phase panchayat elections widespread incidents violence led death three Congress workers Sunday,1
train_01_195_373,Police said two Congress workers Nurmohhamad Sheikh Ahad Ali killed hit crude bombs late Saturday night Kapasdanga Murshidabad district,1
train_01_196_3012,TMC workers accused leading attacks,0
train_01_197_285,There reports skirmishes clashes including stone pelting area two policemen injured,1
train_01_198_2191,Another Congress worker Repon Sheikh killed Bharatpur district clash rival party supporters police said,1
train_01_199_236,Speaking news channel Chief Minister Mamata Banerjee shrugged allegations Trinamool cadres behind killing Congress workers,0
train_01_2_826,His attackers allegedly drank blood,0
train_01_20_1823,observed attack police doubt Modiba said cross-examination,1
train_01_200_2197,Accusing CPM instigating violence said deaths result clashes Congress Marxists,1
train_01_201_2182,But Congress Union minister Murshidabad Adhir Chowdhury blamed Trinamool violence,0
train_01_202_2751,alleged police act prevent incidents despite party giving inputs violence beforehand,0
train_01_203_2496,The miscreants earlier CPM recently joined TMC responsible violence Chowdhury said,0
train_01_204_40,Beijing launched campaign educate Tibetan monks nuns unrest rocked Tibetan-populated areas March two thousand and eight,1
train_01_205_2900,The taxi strike left commuters stranded Johannesburg expected also disrupt matric pupils writing exams Monday Gauteng education department said,1
train_01_206_419,told possible one-day strike already affected Soweto,0
train_01_207_3035,Earlier Johannesburg metro police said strike expected also disrupt Reya Vaya bus service,1
train_01_208_1296,immediately clear triggered strike,0
train_01_209_2724,The National Taxi Council said call strike,0
train_01_21_1320,said one hundred metres away witnessed attack,0
train_01_210_1260,know strike called strike could informed commuters said president Philip Taaibosch,1
train_01_211_600,Sena legislators protest Yedyurappa first April two thousand and ten Prime Minister MUMBAI Shiv Sena workers including legislators today staged demonstrations Karnataka Chief Minister Yeddyurappa protesting forcible installation Kannadiga mayor Marathi-dominated Belgaum city,1
train_01_212_3330,The Sena members staged protest Gateway India adjacent Taj hotel Karnataka put,0
train_01_213_2034,The protesters shouted slogans Karnataka demanding Belgaum along Marathi speaking areas state merged Maharashtra,1
train_01_214_39,Yesterday fifty Karnataka Rakshana Vedike KRV activists taken custody allegedly tried attack members Maharashtra Ekikaran Samithi MES corporators Belgaum City Corporation,1
train_01_215_3378,Thousands demonstrators marched Hong Kong Saturday facing threat arrest increasingly severe warnings Beijing,0
train_01_216_155,Protesters clad head toe black carrying umbrellas orange helmets deviated route approved police took major road normally busy shopping district Mongkok,0
train_01_217_924,One group held black banner words The police overstepped others chanted release protesters arrested last two months demonstrations,0
train_01_218_1148,Protesters distributed protective gear face masks event clashes police used teargas demonstrators,0
train_01_219_2329,The previously banned march sanctioned police last minute one several protests weekend Hong Kong,0
train_01_22_2051,Modiba said saw aggressive strikers running alongside police Nyala charging police,0
train_01_220_1697,city enters ninth consecutive week protests movement shows signs abating public anger government spreads parts Hong Kong society,1
train_01_221_804,Thousands civil servants medical workers staff city finance sector rallied Thursday Friday protests planned weekend,0
train_01_222_2316,The protests began proposal allow extradition China pose serious challenge China authority city since one thousand nine hundred and ninety-seven returned British Chinese control,1
train_01_223_1491,recent days Beijing ramped condemnation protests describes riots accused western powers instigating unrest hurt China,0
train_01_224_2732,Thursday Chen Daoxiang head Chinese army garrison Hong Kong said military determined protect national sovereignty Hong Kong would help put intolerable unrest requested,1
train_01_225_2844,Hong Kong police Thursday also charged forty-four people linked protests rioting crime carries maximum penalty ten years prison,1
train_01_226_2880,online forums claims police decided allow previously banned protest Mongkok order surround demonstrators arrest masse,1
train_01_227_3356,peaceful marches disrupt road afternoon work maybe spills blockading roads maybe long,1
train_01_228_384,The statement condemned authorities turning deaf ear peaceful protests wide section society threatened actions,0
train_01_229_1111,integrated steel plant agriculture mineral-based industries set Kadapa district ensuring comprehensive development generate employment Communist Party India district secretary Narayana demanded addressing party functionaries staged dharna front Kadapa Collectorate Thursday,1
train_01_23_2014,The commission chaired retired Judge Ian Farlam investigating deaths forty-four people wage-related strike Lonmin platinum mining operations Marikana August two thousand and twelve,0
train_01_230_3249,ANDHRA PRADESH Work banks insurance firms hit August twenty-one two thousand and eight IST Back old days horse-drawn cart comes handy passengers autos went road general strike Kurnool Wednesday,0
train_01_231_84,CMP TIRUPATI The all-India general strike called trade unions Wednesday badly hit working PSU banks LIC General Insurance Companies Chittoor district,1
train_01_231_1897,Photo Credit Photo YOU Subramanyam Trade unions oppose move introduce comprehensive insurance bill,0
train_01_231_3359,UPA failure contain price line criticised Centre States accused sidelining,0
train_01_232_3228,Besides bank insurance company employees medical sales representatives members UTF anganwadi municipal construction workers hamalis including RTC porters participated rally taken banner leftist unions protesting anti-employee anti-national policies Congress-led UPA government,0
train_01_233_415,UPA criticised Demonstrations held front bank branches insurance company premises denouncing failure UPA government holding price line,1
train_01_234_598,Leaders Communist Party India Marxist Communist Party India TDP frontal units addressing rally lashed Central State governments nothing except chanting Indira Rajiv Sonia mantra grossly sideling National Common Minimum Programme,1
train_01_235_3084,Secretary Insurance Corporation Employees Union Nellore Division Gopalakrishnaiah leaders held demonstration front United India Insurance Company criticised UPA categorically said would strengthen LIC GICs opposite hiking cap Foreign Direct Investment insurance sector,0
train_01_236_368,Kurnool Work offices financial institutions came stand still account strike,1
train_01_237_2439,The members AITUC CITU Communist Party India Communist Party India Non Governmental Organizations bank insurance employees unions took rally,0
train_01_238_904,Seven Maoists Killed Gun Battle eighteenth February two thousand and fourteen Seven Maoists killed two-hour long gun battle Maharashtra Police border state shares Chhattisgarh top official said Tuesday,1
train_01_239_3190,The gun battle took place deep forests Bedhkati area near Gadchiroli-Gondia border around 11.30 . . late Monday said Gadchiroli Superintendent Police Haque,0
train_01_24_2580,August sixteen two thousand and twelve thirty-four people mostly mineworkers shot dead clash police trying disarm disperse,1
train_01_240_3405,The cross-firing lasted nearly two hours,0
train_01_241_137,Several hundred people occupied homes Delft Cape Flats way Cape High Court bid block impending eviction spokesman said,1
train_01_242_1120,Speaking 1pm Poni said hundreds residents demonstrated outside court way train High Court would make another attempt get urgent interdict,1
train_01_243_3351,Police clueless fifteen abducted Maoists fourth November two thousand and eleven Prime Minister PATNA Four days armed Maoists abducted fifteen people including twelve labourers Bihar Jamui district police still dark whereabouts failed rescue officials said Friday,0
train_01_244_1503,Police failed recover fifteen abducted people,0
train_01_245_2674,Additional Director General Police Headquarters Ravinder Kumar said state police along central paramilitary forces working rescue abducted people,1
train_01_246_109,Search trace recover abducted people said,1
train_01_247_26,The incident took place early Tuesday Balthara village Jamui district two hundred Patna three dozen armed Maoists stormed office private construction company engaged bridge construction abducted fifteen people,0
train_01_248_610,Police suspect Maoists abducted workers company refused pay protection money demanded rebels,1
train_01_249_2837,Police officials Jamui said Maoists might crossed forest area neighbouring Jharkhand along abducted people,0
train_01_25_2462,Sonia Gandhi speaking function flagging twelve new trains along Railway Minister Mamata Banerjee videoconferencing Kanpur railway station,0
train_01_250_3299,Meanwhile banned Communist Party India-Maoist Jamui-Bhagalpur zone commander Chiragda denied outfit involvement abduction alleged local criminals involved,0
train_01_251_293,SANGAREDDY Shortage urea farmers protest Sangareddy,1
train_01_251_2343,August seventeen two thousand and ten IST With shortage urea staring farmers face scores farmers held rasta roko dharna across district,1
train_01_252_489,While earlier turn Telangana Rashtra Samithi TRS participate protests support farmers Monday Telugu Desam,1
train_01_253_169,Former Minister Babumohan oblivion long suddenly turned Sangareddy participated agitation held Collectorate,0
train_01_254_3323,Addressing gathering Babumohan said party committed farmers,0
train_01_255_2417,Similar protests held Narsapur Sadasivapet Toguta places,0
train_01_256_1814,Toopran farmers blocked roads held protest,0
train_01_257_1080,False assurances Despite serious protests farming community seems none three Ministers Geeta Reddy Damodar Rajanarasimha Sunitha Lakshma Reddy took issue seriously,0
train_01_258_2953,Despite assurances authorities stock urea reaching farmers,1
train_01_258_3408,Former TDP Minister Babumohan oblivion long participated agitation,0
train_01_259_3402,The stir intensified women activists Tuesday voiced support women set march towards Shani Shingnapur temple Maharashtra break centuries old tradition allowing feminine gender enter sanctum sanctorum,1
train_01_26_340,Claiming dozen new trains would prove boon Sonia said later public rally organised adjacent railway station long gap Railway ministry done much one state,0
train_01_260_572,Following Shani temple stir Muslim women Thursday staged protest demanding entry restricted area Haji Ali dargah,1
train_01_261_752,Two labourers killed workers stir BALCO Raipur june three Tension gripped BALCO Korba plant work disrupted two labourers killed inside plant,1
train_01_262_1417,Following incident labourers went dharna stopped work,1
train_01_263_2985,District Collector Gaurav Dwivedi Superintendent Police Tomar rushed spot asked labourers withdraw strike,0
train_01_264_136,time Jawaharlal Nehru University Staff Association JNUSA Jawaharlal Nehru University Officers Association JNUOA also sought action shouted anti-national slogans campus February nine,0
train_01_265_1481,The escalating protests JNU follow arrest student union president Kanhaiya Kumar charges shouted anti-Indian slogans meeting Kashmir,1
train_01_266_2348,His arrest sparked widespread protests students teachers well opposition parties,1
train_01_267_1725,The non-teaching staff staged protests front administrative block JNU,0
train_01_268_2424,appeal JNU administration central government take strict action whomsoever responsible slogan-shouting incident The guilty immediately arrested severely punished JNUSA general secretary Ajay Kumar told media,0
train_01_269_2013,Ajay Kumar told IANS non-teaching staff protesting going strike,0
train_01_27_1788,The function organised Kanpur Congress Lok Sabha member Union Coal Minister Shriprakash Jaiswal attended ministers state railway The new trains Kanpur-New Delhi Shatabdi Express Lucknow New Delhi Duronto Allahabad New Delhi Duronto Gorakhpur Lokmanya Tilak Terminal Express Varanasi-Jammu Tawi Superfast Lucknow-Yashwantpur Express Agra-Lucknow Intercity Mathura-Kasganj Passenger Bhopal Pratapgarh Express Gorakhpur Nainital Express Gorakhpur Noutha Passenger Chapra Mathura Express,0
train_01_270_3161,PICS AVAILABLE www.sapapics.co.za crowd supporters erupted Jacob Zuma walked stage outside Pietermaritzburg High Court Thursday address,1
train_01_271_2081,This time hear real judge people meet streets make decisions Zuma said waiting time excited cheering applause subside,0
train_01_272_1544,The former deputy president told group spent morning keeping routine songs marching judge would sit analyse issue whether postpone co-accused Thint trial,0
train_01_273_740,December six two thousand and seventeen IST Urge Central government drop privatisation move day alleged suicide one colleagues employees including officers went mass casual leave Tuesday press demand withdraw decision privatisation Dredging Corporation India DCI,1
train_01_273_3150,VISAKHAPATNAM DCI employees mass casual leave threaten intensify stir,1
train_01_274_403,The employees also served ultimatum government unless shelved decision privatisation would ahead indefinite strike plan intensify ongoing agitation,1
train_01_275_704,hundreds employees city went Vizianagaram take part last rites Venkatesh twenty-eight assistant administration department corporation committed suicide railway tracks protest Centre decision strategic stake sale DCI all-union meeting convened CITU resolved organise demonstrations front industrial establishments located city Wednesday,1
train_01_276_508,The employees paid tributes photograph Venkatesh DCI corporate office protest camp Three Horse Junction relay hunger strike entered eighth day Tuesday,0
train_01_277_2804,NATIONAL Rallies mark Nandigram anniversary March fifteen two thousand and eight IST KOLKATA Processions rallies taken Nandigram Friday first anniversary police firing subsequent violence claimed fourteen lives village East Midnapore district,1
train_01_278_1118,Addressing congregation Gokulnagar Nandigram Trinamool Congress chief Mamata Banerjee said people would give fitting reply Communist Party India Marxist led government carnage Violence continues Condemning atrocities committed Communist Party India cadres innocent people Nandigram Banerjee said even year responsible punished,0
train_01_279_50,Social activist Medha Patkar Pravash Ghosh State secretary Socialist Unity Centre India new Trinamool ally addressed rally,0
train_01_28_3218,Cubbon Park Walkers Oppose Government Move eighth January two thousand and fourteen Members Cubbon Park Walkers Association Tuesday held candlelight protest state government plan set Cubbon Park Development Authority,1
train_01_280_1962,Nandigram Parliamentary Affairs Minister Priyaranjan Dasmunsi led silent procession placed wreaths one memorial tombs,0
train_01_281_2775,tolerate attacks drivers say KZN trucking companies ANA Reporter DURBAN June three ANA Trucking companies said Monday would tolerate attacks drivers following torching seventeen trucks KwaZulu-Natal weekend,1
train_01_282_1379,Hassan said past three weeks sixty trucks come attack lot injuries drivers,1
train_01_283_2280,Local drivers allegedly attacking vehicles threatening foreign drivers accuse taking jobs meant locals,1
train_01_284_2513,Zikalala said following stakeholder meetings Sunday Monday morning parties decided police would establish rapid response team attend attacks,1
train_01_285_2543,KERALA Demanding quota Show strength protest rally Vaikunta Swamy Dharma Pracharana Sabha VSDP front Secretariat Wednesday raising various demands including ten per cent reservation,1
train_01_286_1740,Congress Workers Stage Rail Roko Maharashtra Against Train Fare Hike twenty-fifth June two thousand and fourteen Prime Minister MUMBAI Congress workers today staged rail roko various parts Maharashtra excluding Mumbai protest train fare hike,1
train_01_287_3106,decided exclude Mumbai rail roko demonstrations slated eleven twelve noon avoid inconvenience suburban commuters MPCC spokesperson Sachin Sawant told PTI,1
train_01_288_2896,Rail roko stir successful places like Thane Navi Mumbai Wardha Akola Sawant said,0
train_01_289_1291,places Congress workers staged rail roko ten eleven,0
train_01_29_1416,IIT Row PSI Brandishes Pistol Protesters,0
train_01_29_3015,02nd October two thousand and fifteen RAICHUR The ongoing agitation Centre decision set state first IIT Dharwad took ugly turn Thursday West Police Station PSI Agni allegedly assaulted lorry driver brandished service revolver agitators protest lorry owners association,1
train_01_290_1409,Congress protesting recent hike railway passenger fares freight rates announced Centre,1
train_01_291_2271,The party activists held demonstrations various parts state protesting fare hike demanded immediate rollback fares,1
train_01_292_2464,Suspected DHD rebels allegedly set fifty houses ablaze Saturday ten houses torched Sunday,0
train_01_293_1885,Violence first broke hill district September twenty-six three auto-rickshaw drivers belonging Dimasa tribe killed,1
train_01_294_3008,TIRUCHI Residents raise black flag atop houses May six two thousand and sixteen IST Residents Quaide Milleth Nagar near Ariyamangalam Thursday hoisted black flags atop houses demanding basic amenities threatened boycott Assembly election demands conceded,1
train_01_295_834,ATT SUBS ADDS MUSLIM YOUTH MOVEMENT COMMENT early determine impact strike conducted Commercial Catering Allied Workers Union operations Shoprite Checkers company said Tuesday,0
train_01_296_2600,Talks underway solve wage dispute end strike said,1
train_01_297_1653,Saccawu members continued national strike Tuesday,0
train_01_298_2200,The Muslim Youth Movement South Africa Tuesday pledged solidarity striking workers,0
train_01_299_856,call upon Muslim community put striking workers poor people battling capitalist greed prayers use glorious month Ramadan re-commit struggle socio-economic justice equity freedom organisation said,1
train_01_3_2272,Tip asked Mathunjwa explicitly told armed striking mineworkers leave hill gathered return work,0
train_01_30_2873,The lorry owners association staging protest blocking road near Ambedkar Circle,1
train_01_300_920,support boycott Shoprite Checkers stores may God shower blessings striking workers,0
train_01_301_1176,Mon twenty-three Hungry Striker Four netizens enjoy picnic front pro-Beijing group Justice Alliance convener Leticia Lee indefinite hunger strike front Central Government Offices,0
train_01_302_2793,Lee said hunger strike would continue government instituted stronger official response Occupy Central recent radical protests Legco,1
train_01_303_748,Fri twenty-seven Fire Walking fifty-nine year-old barefoot doctor sentenced four months jail attempted arson,1
train_01_304_2790,opened bottle paint thinner took lighter restrained police,0
train_01_305_495,two held poisoning threat Tung PUBLISHED Wednesday three October two thousand and one Donald Tsang Donald Tsang couple suspected sending letter addressed Chief Executive Tung Chee-hwa threatening poison food drink two top officials arrested Central yesterday,1
